Distriktkod;Distriktnamn; Arbetarepartiet-Socialdemokraterna; Sverigedemokraterna; Moderaterna; Vänsterpartiet; Centerpartiet; Kristdemokraterna; Miljöpartiet de gröna
14-71-0608;Källbyorten;33,04%;20,88%;18,88%;4,25%;7,91%;6,61%;3,19%
14-71-0705;Lundsbrunnsorten;24,70%;28,41%;16,44%;3,46%;10,20%;9,02%;3,54%
14-71-1513;Hällekis-Forshem;32,25%;23,49%;12,29%;7,33%;6,65%;6,18%;8,08%
Hjo;Dummy;29,53%;22,60%;18,65%;3,99%;6,63%;9,45%;4,44%
14-97-0000;Uppsamlingsdistrikt;21,08%;22,29%;21,69%;7,83%;4,82%;6,63%;8,43%
14-97-0101;Hjo södra Grevbäck;28,79%;18,94%;22,27%;4,47%;5,96%;8,23%;6,45%
14-97-0102;Hjo västra Mofalla Långeruder m fl;28,35%;23,75%;18,90%;2,42%;7,84%;9,94%;4,20%
14-97-0103;Hjo mellersta Hammarsjorden;36,00%;20,00%;16,28%;5,77%;5,12%;8,28%;4,00%
14-97-0104;Hjo norra Smedstorp Sanna;31,36%;22,69%;18,27%;4,59%;6,92%;7,51%;3,84%
14-97-0505;Norra och Södra Fågelås Gate;21,85%;29,90%;17,31%;1,75%;7,87%;14,69%;3,15%
14-97-0706;Korsberga Blikstorp;28,07%;26,41%;15,12%;2,82%;7,14%;13,12%;2,33%
Karlsborg;Dummy;30,44%;26,67%;16,65%;3,48%;6,88%;8,34%;2,48%
14-46-0000;Uppsamlingsdistrikt;18,88%;28,92%;23,69%;6,02%;5,22%;6,43%;5,22%
14-46-0101;Karlsborg centrum-södra;29,02%;25,64%;19,47%;3,68%;5,86%;8,72%;1,80%
14-46-0108;Karlsborg norra;33,83%;26,04%;17,02%;2,79%;5,36%;6,94%;2,00%
14-46-0304;Mölltorp - Brevik;29,99%;26,65%;13,77%;3,50%;10,02%;9,45%;2,53%
14-46-0405;Undenäs - Forsvik;31,27%;29,20%;12,98%;3,54%;6,93%;9,14%;3,69%
Lidköping;Dummy;34,08%;21,44%;17,61%;4,96%;6,42%;6,57%;3,85%
14-94-0000;Uppsamlingsdistrikt;28,92%;18,15%;21,54%;5,54%;7,38%;6,15%;4,31%
14-94-0101;Gamla stadens centrum;30,16%;22,11%;17,82%;7,11%;6,08%;4,71%;4,03%
14-94-0102;Margretelund N;36,76%;27,21%;11,94%;6,96%;3,74%;4,67%;2,49%
14-94-0103;Fredriksdal;34,98%;21,37%;16,26%;9,95%;3,29%;5,48%;2,83%
14-94-0104;Wennerberg;39,79%;19,26%;16,40%;5,61%;6,14%;4,23%;3,60%
14-94-0105;Lidåker-Ljunghed;43,30%;20,94%;13,72%;3,25%;3,81%;5,95%;3,65%
14-94-0106;Margretelund S;41,75%;21,61%;11,89%;7,64%;3,13%;5,56%;3,65%
14-94-0107;Nya staden N;36,17%;19,69%;16,00%;6,43%;7,48%;5,63%;3,86%
14-94-0108;Nya staden S;32,68%;14,40%;20,23%;8,25%;6,15%;6,30%;4,98%
14-94-0109;Ågårdsområdet;33,59%;19,61%;19,89%;5,63%;5,15%;6,19%;5,35%
14-94-0110;Dalängen;42,62%;14,85%;17,38%;4,31%;5,54%;5,00%;5,08%
14-94-0111;Framnäs;42,26%;19,93%;12,14%;7,88%;4,45%;5,38%;2,78%
14-94-0213;Järpås;26,97%;32,34%;16,91%;3,66%;9,14%;5,49%;2,29%
14-94-0514;Råda;32,29%;17,50%;20,90%;3,53%;8,48%;7,53%;3,87%
14-94-0622;Tun-Gillstad;27,73%;27,01%;17,44%;3,58%;9,84%;7,07%;4,03%
14-94-0816;Sunnersberg;28,82%;21,94%;19,88%;4,89%;8,64%;7,57%;4,43%
14-94-1117;Otterstad;26,96%;28,36%;14,14%;3,26%;6,29%;11,58%;3,03%
14-94-1315;Stenhammar;32,00%;16,90%;24,71%;2,26%;6,71%;8,06%;4,84%
14-94-1325;Tofta-Ulriksdal;37,43%;17,65%;20,68%;3,12%;4,90%;6,33%;4,63%
14-94-2020;Hovby-Majåker;40,43%;15,84%;18,64%;2,87%;6,66%;6,38%;3,92%
14-94-2121;Saleby-Norra Härene;22,26%;30,35%;20,35%;3,82%;9,40%;6,61%;3,16%
14-94-2424;Vinninga-Filsbäck;35,42%;23,52%;18,57%;3,37%;5,02%;8,32%;2,20%
14-94-2923;Örslösa;28,08%;26,58%;14,00%;4,14%;10,48%;8,01%;4,75%
Mariestad;Dummy;34,17%;22,91%;20,35%;4,56%;5,53%;5,78%;3,16%
14-93-0000;Uppsamlingsdistrikt;23,68%;27,26%;18,42%;8,46%;7,14%;4,89%;4,89%
14-93-0101;Näset;30,13%;22,19%;24,17%;5,74%;5,08%;5,41%;3,09%
14-93-0102;Madlyckan;34,49%;20,77%;20,02%;5,45%;5,08%;6,86%;3,76%
14-93-0103;Ladukärr;38,08%;17,38%;22,37%;5,45%;4,62%;4,53%;4,07%
14-93-0104;Grangärdet;40,00%;25,92%;16,42%;4,92%;4,58%;3,13%;2,35%
14-93-0105;Trädgården;37,62%;19,54%;21,34%;5,23%;4,63%;5,14%;3,26%
14-93-0118;Högelid;37,34%;19,34%;22,55%;3,81%;5,08%;5,83%;3,36%
14-93-0206;Marieholm;42,36%;18,15%;16,62%;7,28%;4,00%;4,92%;2,56%
14-93-0207;Leksberg;35,41%;20,82%;22,47%;2,24%;3,89%;7,10%;4,96%
14-93-0208;Leverstad;40,78%;25,98%;14,25%;5,45%;3,49%;4,47%;2,09%
14-93-0216;Lockerud-Ekudden;35,33%;15,56%;26,89%;4,00%;6,11%;4,67%;3,22%
14-93-0217;Bråten-Västra skogen-Marieäng;42,46%;21,37%;16,70%;6,01%;3,44%;3,72%;2,96%
14-93-0314;Ullervad;28,86%;21,08%;24,91%;3,83%;7,90%;6,47%;3,35%
14-93-0315;Tidavad;26,48%;25,96%;19,37%;2,24%;10,41%;10,28%;1,58%
14-93-1011;Lugnås;23,29%;30,92%;16,65%;4,06%;7,14%;10,31%;3,77%
14-93-1409;Hassle-Torsö;28,79%;28,15%;21,94%;2,82%;7,66%;5,08%;2,42%
14-93-1813;Lyrestad-Sjötorp;29,34%;33,26%;17,87%;2,38%;5,37%;5,79%;2,07%
Skara;Dummy;31,70%;24,50%;18,78%;4,65%;6,54%;5,98%;3,49%
14-95-0000;Uppsamlingsdistrikt;29,40%;17,59%;19,68%;7,87%;10,42%;6,71%;3,47%
14-95-0101;Marieberg;38,91%;23,31%;16,91%;6,57%;3,77%;4,21%;2,10%
14-95-0102;Västermalm-Domprostegården;32,89%;16,94%;21,59%;6,81%;6,81%;5,90%;4,57%
14-95-0103;Centrum;37,19%;26,05%;15,11%;5,79%;4,29%;3,54%;3,97%
14-95-0104;Skaraberg-Tveta;34,91%;22,95%;19,86%;3,99%;5,12%;6,02%;3,31%
14-95-0105;Gällkvist västra-Härlunda;33,57%;26,87%;18,78%;4,43%;5,13%;5,04%;2,52%
14-95-0106;Gällkvist östra-Skånings Åsaka;31,82%;29,06%;17,93%;3,15%;5,42%;6,40%;2,76%
14-95-0107;Hindsbo-Händene;32,31%;23,66%;19,58%;4,08%;5,96%;8,25%;1,49%
14-95-0514;Varnhem-Eggby;27,51%;21,26%;17,89%;4,28%;9,89%;5,68%;7,79%
14-95-0813;Axvall;27,28%;24,27%;20,37%;3,72%;8,15%;7,71%;2,83%
14-95-1609;Ardala;22,98%;35,35%;18,68%;2,46%;8,16%;6,75%;2,28%
Skövde;Dummy;31,24%;20,76%;20,85%;4,73%;6,46%;7,04%;3,56%
14-96-0000;Uppsamlingsdistrikt;27,23%;18,32%;20,88%;7,45%;8,55%;5,86%;5,49%
14-96-0101;Centrum västra;33,30%;18,43%;24,50%;4,82%;3,98%;5,55%;3,46%
14-96-0102;Kullen;28,78%;17,85%;25,25%;4,85%;4,61%;7,48%;4,44%
14-96-0103;Billingssluttningen;32,78%;16,50%;23,47%;3,56%;6,36%;6,74%;4,69%
14-96-0104;Dälderna;33,89%;20,77%;20,54%;3,79%;6,56%;6,16%;3,95%
14-96-0105;Centrum östra;25,19%;16,93%;21,83%;12,27%;5,43%;6,59%;4,01%
14-96-0106;Havstena;38,94%;17,99%;16,10%;8,81%;5,31%;4,23%;3,06%
14-96-0107;Norrmalm;29,76%;20,95%;19,54%;5,92%;6,51%;7,11%;4,29%
14-96-0108;Västra Fältet;32,72%;21,57%;21,11%;4,52%;5,35%;7,00%;1,94%
14-96-0109;Rosenhaga;34,51%;21,53%;18,51%;6,04%;5,13%;6,04%;3,52%
14-96-0110;Lunden;32,51%;21,33%;22,36%;4,97%;4,55%;6,52%;2,59%
14-96-0111;Mariesjö;31,67%;21,79%;19,04%;7,33%;4,79%;6,11%;4,38%
14-96-0112;Östermalm;33,62%;23,32%;15,30%;6,99%;6,14%;4,91%;3,68%
14-96-0113;Trädgårdsstaden;28,74%;13,59%;29,76%;3,60%;8,69%;7,67%;3,70%
14-96-0115;Källegården;26,66%;17,05%;28,61%;5,13%;6,00%;7,51%;3,11%
14-96-0129;Ekängen;28,99%;15,54%;27,60%;2,17%;7,38%;7,47%;3,21%
14-96-0132;Aspö/Ulveket;32,77%;14,59%;23,54%;4,93%;7,96%;6,98%;4,16%
14-96-0134;Högskolan/Trängen;29,15%;18,43%;19,26%;10,13%;5,36%;4,86%;5,19%
14-96-0316;Våmb;32,72%;15,90%;24,81%;2,38%;7,68%;5,99%;4,30%
14-96-0331;Hentorp;29,95%;17,92%;25,91%;3,29%;7,32%;7,02%;3,73%
14-96-0417;Södra Ryd;42,72%;16,21%;16,29%;3,62%;4,17%;9,68%;2,75%
14-96-0418;Ryds Centrum;47,50%;15,17%;11,38%;9,10%;4,40%;5,61%;2,73%
14-96-0419;Norra Ryd;39,86%;15,75%;13,84%;6,68%;4,18%;11,10%;2,86%
14-96-0521;Skultorps centrum;34,45%;24,95%;16,41%;4,21%;6,70%;5,08%;2,70%
14-96-0533;Skultorp nordväst;32,35%;21,56%;23,29%;2,55%;5,27%;5,84%;3,70%
14-96-0820;Skultorpsbygden;27,17%;24,80%;21,47%;2,72%;8,33%;7,89%;3,51%
14-96-1223;Värsås;22,05%;28,61%;17,78%;2,57%;11,79%;10,74%;2,47%
14-96-1322;Igelstorp;27,36%;27,92%;19,81%;3,30%;8,49%;6,32%;1,60%
14-96-1625;Väring;26,71%;33,47%;15,66%;3,26%;6,28%;8,66%;2,31%
14-96-1824;Frösve/Säter;30,58%;21,91%;20,67%;3,26%;5,20%;9,36%;3,26%
14-96-2226;Berg;29,77%;20,77%;19,07%;1,60%;9,80%;6,77%;7,04%
14-96-2427;Timmersdala;27,35%;30,16%;19,95%;3,40%;5,99%;7,98%;2,46%
14-96-2628;Tidan;25,18%;35,18%;14,65%;3,68%;7,54%;8,07%;2,37%
Tibro;Dummy;31,68%;25,56%;16,25%;3,68%;6,26%;8,61%;2,40%
14-72-0000;Uppsamlingsdistrikt;32,09%;21,39%;14,97%;5,35%;5,88%;8,82%;2,67%
14-72-0101;Smuleberg m.fl.;31,04%;29,74%;15,77%;3,29%;5,39%;7,98%;1,60%
14-72-0102;Södra centrum;35,49%;22,99%;15,01%;3,16%;6,54%;9,63%;1,44%
14-72-0103;Häggetorp Katrineberg m.fl.;33,33%;22,54%;14,87%;4,92%;5,97%;8,71%;3,31%
14-72-0104;Skattegården m.fl.;34,12%;25,03%;14,01%;4,39%;4,92%;8,56%;2,89%
14-72-0106;Hörnebo Kvarnhagen m.fl.;27,59%;27,34%;18,39%;3,37%;6,24%;9,61%;2,38%
14-72-0205;Fagersanna Ransberg m.fl.;28,57%;27,53%;19,18%;2,81%;8,03%;6,90%;2,89%
Tidaholm;Dummy;35,09%;27,64%;13,70%;4,01%;5,26%;7,59%;2,56%
14-98-0000;Uppsamlingsdistrikt;37,21%;22,15%;14,84%;5,48%;5,94%;7,76%;1,83%
14-98-0101;Tidaholms Innerstad;39,88%;25,70%;13,24%;5,04%;3,76%;5,29%;2,48%
14-98-0102;Tidaholm Östra;40,95%;26,92%;10,62%;4,08%;4,55%;6,07%;2,46%
14-98-0103;Tidaholm Västra;45,46%;23,82%;12,10%;4,63%;2,55%;6,99%;1,42%
14-98-0104;Tidaholm Norra;42,54%;25,47%;14,09%;3,45%;3,82%;5,60%;1,59%
14-98-0110;Hökensås Norra;32,70%;23,64%;18,41%;1,99%;6,33%;9,20%;3,76%
14-98-0207;Hökensås Södra/Västra;23,72%;36,02%;13,61%;3,99%;6,52%;10,35%;1,55%
14-98-1512;Dimbo m.fl.;22,80%;33,56%;12,29%;4,66%;8,31%;8,81%;4,58%
Töreboda;Dummy;29,92%;29,85%;17,34%;3,88%;6,54%;5,65%;2,25%
14-73-0000;Uppsamlingsdistrikt;32,60%;28,01%;15,75%;4,16%;4,16%;6,35%;3,50%
14-73-0101;Älgarås;23,42%;35,01%;14,29%;2,58%;8,90%;7,26%;2,69%
14-73-0102;Kilen;33,02%;25,18%;20,25%;4,35%;7,18%;4,86%;1,96%
14-73-0103;Moholm;25,04%;33,03%;18,32%;4,29%;5,46%;6,22%;2,61%
14-73-0104;Björkäng;32,64%;30,47%;15,28%;4,07%;6,42%;4,88%;1,45%
14-73-0105;Kårtorp;33,11%;28,06%;17,85%;3,48%;6,06%;5,16%;2,13%
Vara;Dummy;25,02%;29,90%;22,04%;3,80%;7,50%;6,44%;1,83%
14-70-0000;Uppsamlingsdistrikt;21,78%;27,48%;27,23%;6,19%;4,95%;4,46%;3,96%
14-70-0101;Vara Östra;30,72%;26,04%;19,19%;5,95%;6,04%;6,58%;1,89%
14-70-0102;Vara Västra;28,33%;21,32%;28,60%;2,54%;6,49%;5,53%;2,63%
14-70-0103;Vara Centrum;25,69%;24,19%;26,84%;3,92%;8,64%;5,41%;1,15%
14-70-0204;Levene;25,38%;31,79%;20,93%;3,74%;7,66%;6,23%;1,96%
14-70-1006;Arentorp;24,06%;30,03%;21,95%;3,12%;9,18%;6,24%;2,11%
14-70-1210;Vedum;25,12%;30,31%;20,62%;3,49%;9,46%;6,20%;2,02%
14-70-2424;Larv;20,62%;34,04%;19,40%;2,44%;8,65%;9,31%;1,00%
14-70-2725;Skarstad;20,94%;36,84%;20,32%;3,36%;7,51%;6,80%;1,06%
14-70-2927;Kvänum;24,78%;34,30%;19,67%;4,56%;5,35%;6,69%;1,57%
Örebro län;Dummy;33,25%;22,09%;16,74%;6,11%;6,26%;5,34%;4,05%
Askersund;Dummy;32,03%;29,64%;15,65%;3,35%;6,46%;5,60%;2,96%
18-82-0000;Uppsamlingsdistrikt;27,25%;27,96%;19,43%;4,50%;7,35%;4,74%;4,74%
18-82-0101;Sjöängen;39,18%;22,20%;15,87%;2,88%;5,21%;5,29%;3,61%
18-82-0102;Närlunda;37,15%;28,11%;14,59%;4,39%;4,39%;5,39%;2,16%
18-82-0103;Klockarbacken;27,36%;28,29%;18,59%;2,92%;10,62%;6,51%;1,33%
18-82-0304;Åsbro;30,95%;30,85%;14,88%;3,58%;5,33%;6,80%;3,58%
18-82-0306;Mariedamm-Lerbäck;29,23%;30,19%;14,61%;3,50%;6,52%;6,88%;3,99%
18-82-0408;Snavlunda;28,66%;28,45%;10,88%;4,18%;12,13%;5,65%;6,49%
18-82-0511;Hammar-Olshammar;28,19%;36,16%;17,63%;1,89%;6,37%;4,68%;1,59%
18-82-0513;Åmmeberg-Zinkgruvan;31,31%;36,12%;14,58%;3,17%;5,32%;4,18%;1,39%
Degerfors;Dummy;39,64%;26,61%;11,98%;7,75%;3,90%;4,15%;2,36%
18-62-0000;Uppsamlingsdistrikt;42,48%;21,24%;8,85%;6,19%;7,96%;4,42%;5,31%
18-62-0101;Jannelund;50,15%;21,55%;8,07%;8,07%;3,27%;4,09%;2,25%
18-62-0102;Bossåsen;38,66%;30,73%;13,04%;5,90%;2,38%;3,51%;2,04%
18-62-0103;Bruket;36,65%;25,95%;13,98%;10,28%;2,86%;3,71%;3,07%
18-62-0105;Stora Valla;43,30%;25,98%;7,94%;11,55%;2,78%;3,09%;1,75%
18-62-0108;Strömtorp;38,50%;27,76%;15,41%;4,14%;3,22%;4,68%;2,07%
18-62-0210;Åtorp;28,10%;28,25%;14,20%;5,98%;10,61%;6,43%;3,14%
18-62-0211;Svartå;36,50%;28,00%;10,25%;11,00%;3,75%;3,75%;2,00%
Hallsberg;Dummy;35,49%;27,24%;14,69%;4,77%;6,09%;4,62%;2,94%
18-61-0000;Uppsamlingsdistrikt;32,55%;24,34%;14,66%;9,68%;5,87%;2,93%;4,99%
18-61-0111;Hässleberg;47,43%;22,86%;11,90%;6,19%;2,29%;3,62%;2,86%
18-61-0113;Kårstahult;38,50%;26,28%;13,14%;5,12%;4,07%;4,86%;3,55%
18-61-0114;Vingen;39,46%;24,35%;16,70%;4,27%;4,87%;3,88%;3,08%
18-61-0115;Vadsbron;36,72%;27,99%;13,96%;5,15%;4,52%;4,12%;2,93%
18-61-0116;Långängen;45,09%;18,64%;15,73%;3,41%;5,91%;3,71%;2,81%
18-61-0221;Vretstorp;27,05%;34,33%;13,87%;4,89%;6,79%;6,39%;2,20%
18-61-0231;Östansjö;28,00%;33,50%;13,69%;4,89%;8,19%;4,52%;2,81%
18-61-0441;Sköllersta;28,45%;28,02%;16,81%;3,99%;7,65%;6,03%;4,31%
18-61-0451;Pålsboda;32,07%;28,76%;16,78%;3,78%;8,27%;4,65%;1,97%
18-61-0561;Svennevad;29,28%;28,73%;13,54%;5,80%;10,22%;5,25%;3,04%
18-61-0671;Bo;31,05%;32,49%;12,64%;2,17%;9,03%;6,14%;1,81%
Hällefors;Dummy;38,27%;29,51%;13,05%;5,90%;4,23%;3,14%;2,64%
18-63-0000;Uppsamlingsdistrikt;27,54%;23,19%;20,29%;17,39%;5,80%;1,45%;2,90%
18-63-0101;Gillershöjden;39,54%;31,20%;14,00%;4,81%;2,36%;3,46%;1,60%
18-63-0102;Centrum;46,01%;27,21%;10,27%;5,79%;3,50%;2,84%;1,64%
18-63-0104;Hjulsjö-Kronhagen;37,80%;29,78%;11,80%;6,99%;5,15%;2,52%;2,98%
18-63-0208;Grythyttan;30,63%;29,80%;15,11%;5,55%;6,27%;3,70%;4,52%
Karlskoga;Dummy;37,44%;23,69%;18,93%;5,03%;4,06%;3,94%;2,62%
18-83-0000;Uppsamlingsdistrikt;30,20%;24,31%;21,92%;7,18%;4,24%;4,24%;3,13%
18-83-0101;Aggerud;35,73%;22,04%;22,62%;3,01%;4,17%;5,18%;2,84%
18-83-0102;Stråningstorp;40,62%;21,59%;18,50%;3,79%;3,88%;3,61%;3,00%
18-83-0103;Landa;44,27%;21,46%;12,68%;6,22%;3,17%;4,39%;2,56%
18-83-0104;Skranta;35,24%;23,46%;19,66%;6,70%;2,54%;3,80%;3,35%
18-83-0105;Häsängen;31,55%;31,39%;19,87%;2,68%;5,60%;4,38%;1,62%
18-83-0106;Ekeby;36,36%;26,72%;16,42%;7,98%;3,71%;3,71%;2,04%
18-83-0107;Karlberg;34,83%;24,84%;21,81%;5,22%;3,57%;4,03%;2,11%
18-83-0108;Rävåsen;41,39%;24,61%;16,43%;5,57%;3,13%;2,78%;2,61%
18-83-0109;Sandmo;40,93%;22,51%;17,19%;6,55%;2,94%;3,04%;3,51%
18-83-0110;Karls-Åby;36,50%;16,86%;24,80%;4,26%;4,83%;4,01%;3,60%
18-83-0111;Bohult;40,05%;20,61%;19,89%;5,29%;3,94%;3,85%;1,52%
18-83-0112;Bregården;36,71%;18,23%;21,96%;4,21%;4,13%;5,19%;2,43%
18-83-0113;Bofors;40,30%;22,32%;16,03%;5,40%;4,52%;4,25%;2,30%
18-83-0114;Sandviken;43,68%;22,89%;14,33%;6,37%;2,79%;3,38%;3,58%
18-83-0115;Österleden;33,97%;26,70%;19,34%;5,04%;4,64%;3,60%;2,80%
18-83-0116;Bråten;42,44%;22,03%;18,27%;3,67%;4,10%;3,76%;2,22%
18-83-0117;Granbergsdal;28,38%;34,36%;17,18%;3,73%;6,63%;3,64%;2,24%
Kumla;Dummy;33,24%;25,59%;17,28%;4,26%;5,57%;5,57%;2,56%
18-81-0000;Uppsamlingsdistrikt;30,90%;23,62%;20,60%;6,78%;3,27%;5,53%;3,27%
18-81-0102;Hällabrottet;32,55%;26,97%;18,74%;2,79%;5,58%;5,79%;2,15%
18-81-0104;Åbytorp-Hardemo;25,11%;28,86%;17,42%;2,22%;9,91%;7,60%;2,13%
18-81-0105;Skogstorp;29,49%;22,50%;21,70%;3,58%;5,09%;5,33%;4,29%
18-81-0106;Malmen;39,26%;27,73%;10,24%;7,06%;4,08%;3,78%;2,39%
18-81-0107;Fylsta;39,10%;24,88%;14,22%;5,89%;4,49%;4,21%;1,78%
18-81-0108;Stadshuset;41,76%;23,23%;13,32%;4,27%;5,55%;4,95%;2,22%
18-81-0109;Åsen;32,45%;25,37%;17,28%;5,45%;4,82%;6,07%;2,26%
18-81-0112;Haga;34,77%;22,90%;18,37%;4,84%;4,91%;5,14%;2,95%
18-81-0114;Kumlaby;34,70%;30,85%;13,94%;4,01%;3,21%;5,37%;2,72%
18-81-0115;Sörby;28,91%;22,64%;26,57%;2,90%;6,55%;4,96%;1,22%
18-81-0116;Vialund;34,28%;24,46%;16,43%;4,34%;5,76%;6,61%;2,83%
18-81-0310;Ekeby-Kvarntorp;25,22%;28,28%;16,76%;2,92%;9,33%;7,58%;3,79%
Laxå;Dummy;34,49%;30,69%;12,25%;4,76%;5,12%;6,25%;2,12%
18-60-0000;Uppsamlingsdistrikt;37,22%;26,99%;10,23%;5,97%;6,82%;4,83%;2,84%
18-60-0101;Laxå Centrala;37,74%;30,33%;11,74%;5,13%;3,99%;5,25%;1,03%
18-60-0103;Laxå-Kanalområdet;35,72%;32,10%;12,68%;3,97%;3,80%;7,25%;1,12%
18-60-0205;Finnerödja;28,71%;30,93%;13,41%;3,77%;7,43%;7,65%;3,88%
18-60-0407;Skagershult;34,40%;30,03%;11,08%;7,87%;4,66%;3,21%;2,92%
Lekeberg;Dummy;25,33%;27,51%;17,24%;3,55%;9,52%;8,06%;3,39%
18-14-0000;Uppsamlingsdistrikt;21,78%;26,73%;19,80%;5,94%;12,87%;7,92%;1,98%
18-14-0101;Hidinge;25,32%;19,56%;26,17%;3,49%;9,32%;5,83%;3,98%
18-14-0201;Knista Västra;30,36%;30,81%;16,25%;3,84%;8,35%;5,53%;2,03%
18-14-0202;Knista Norra Och Östra;29,12%;29,33%;13,47%;3,83%;9,64%;6,53%;3,63%
18-14-0301;Kräcklinge Mfl;19,73%;33,11%;14,36%;2,64%;10,94%;10,55%;3,42%
18-14-0701;Kvistbro Västra;23,39%;27,40%;12,20%;4,16%;8,90%;12,48%;3,16%
18-14-0702;Kvistbro Östra;24,08%;29,29%;13,68%;3,28%;9,25%;10,40%;4,24%
Lindesberg;Dummy;30,19%;30,12%;15,53%;5,10%;5,99%;5,39%;3,25%
18-85-0000;Uppsamlingsdistrikt;24,29%;27,91%;18,09%;7,75%;4,39%;4,91%;4,65%
18-85-0203;Gusselby;20,29%;42,68%;16,95%;3,77%;3,14%;5,65%;4,39%
18-85-0204;Lindesbergs Norra;32,48%;24,75%;19,47%;6,92%;3,00%;4,64%;2,82%
18-85-0206;Linde;21,38%;36,68%;16,11%;2,53%;6,48%;7,80%;4,26%
18-85-0207;Lindesbergs Mellersta;34,36%;22,42%;17,44%;6,52%;6,37%;5,20%;3,00%
18-85-0209;Vedevåg;28,70%;32,40%;13,61%;2,96%;7,40%;7,84%;2,81%
18-85-0210;Lindesbergs Västra;34,86%;24,66%;19,94%;3,82%;4,87%;4,80%;3,15%
18-85-0212;Lindesbergs Sydöstra;33,73%;27,60%;17,20%;5,26%;4,71%;4,38%;2,41%
18-85-0216;Lindesbergs Nordöstra;47,22%;17,07%;13,68%;6,42%;4,72%;3,63%;3,39%
18-85-0302;Guldsmedshyttan;26,36%;39,80%;13,12%;6,62%;4,45%;3,90%;3,15%
18-85-0305;Storå;26,42%;41,30%;11,06%;5,12%;5,12%;4,55%;2,36%
18-85-0413;Frövi Västra;36,72%;27,15%;14,60%;4,70%;5,86%;4,79%;1,65%
18-85-0414;Frövi Östra;29,69%;29,12%;15,27%;5,00%;8,48%;4,81%;3,86%
18-85-0518;Fellingsbro Västra;27,52%;28,10%;16,14%;4,90%;10,09%;6,05%;2,45%
18-85-0519;Fellingsbro Östra;26,21%;32,99%;13,79%;4,07%;8,14%;7,46%;3,28%
18-85-0522;Rockhammar;18,79%;36,01%;12,33%;5,09%;10,96%;6,26%;4,89%
18-85-0728;Ramshyttan;23,68%;33,19%;11,42%;5,71%;5,29%;8,03%;7,40%
Ljusnarsberg;Dummy;32,83%;34,87%;13,71%;5,45%;3,02%;4,15%;1,93%
18-64-0000;Uppsamlingsdistrikt;24,93%;39,02%;13,28%;7,05%;3,79%;4,61%;0,81%
18-64-0101;Hörken;28,78%;44,17%;8,68%;4,22%;1,74%;5,71%;2,98%
18-64-0102;Ställdalen;26,56%;44,26%;14,43%;3,93%;1,97%;3,28%;1,31%
18-64-0103;Kyrkbacksskolan Kopparberg;38,00%;29,16%;15,32%;3,98%;3,98%;4,27%;1,91%
18-64-0104;Bångbro;25,37%;37,44%;19,21%;4,68%;3,94%;3,94%;2,71%
18-64-0105;Tingshuset Kopparberg;41,58%;27,09%;11,71%;7,91%;2,34%;3,37%;1,76%
Nora;Dummy;32,94%;25,80%;14,96%;4,72%;6,03%;5,63%;4,35%
18-84-0000;Uppsamlingsdistrikt;30,14%;20,58%;16,23%;8,70%;5,80%;5,51%;5,51%
18-84-0306;Järnboås-Klacka-Lerberg;20,70%;27,46%;13,73%;4,51%;13,32%;9,43%;4,51%
18-84-0401;Hagby-Esstorp;37,84%;24,21%;13,74%;4,65%;5,39%;6,03%;2,43%
18-84-0403;Karlsäng-Pershyttan;38,85%;24,46%;11,87%;5,64%;4,20%;5,40%;4,08%
18-84-0404;Gyttorp-Viker;29,84%;31,18%;14,25%;5,57%;6,01%;4,23%;3,67%
18-84-0405;Hitorp-Alntorp;33,27%;23,49%;15,63%;4,89%;5,08%;6,52%;4,89%
18-84-0407;Ås-Ringshyttan;33,28%;31,75%;15,03%;1,23%;5,83%;4,45%;3,53%
18-84-0409;Dalsta-Born;31,60%;21,81%;18,65%;3,77%;6,12%;5,40%;7,24%
18-84-0410;Torget-Gunnarsberg;34,00%;27,25%;15,17%;5,09%;5,69%;4,86%;3,55%
Örebro;Dummy;32,58%;17,06%;17,52%;7,33%;7,05%;5,62%;5,19%
18-80-0100;Uppsamlingsdistrikt;28,87%;15,50%;16,88%;10,98%;6,73%;4,43%;8,03%
18-80-0101;Örnsro;35,26%;18,90%;13,23%;9,74%;5,58%;3,88%;6,33%
18-80-0102;Näbbtorget;38,02%;18,74%;14,81%;9,26%;5,23%;3,70%;3,27%
18-80-0103;Centrum;30,80%;15,67%;19,43%;9,44%;8,07%;3,21%;4,49%
18-80-0104;Oskarsparken;32,78%;12,94%;19,67%;6,29%;8,04%;4,37%;5,59%
18-80-0105;Stadsparken;30,30%;13,94%;22,53%;6,16%;6,87%;3,84%;7,07%
18-80-0106;Rudbeck;28,89%;13,98%;21,71%;8,10%;8,28%;4,05%;5,34%
18-80-0107;Birgitta;30,32%;13,53%;20,91%;7,82%;7,47%;4,31%;6,94%
18-80-0108;Krämartorget;39,89%;18,42%;12,84%;8,42%;4,74%;5,37%;3,79%
18-80-0109;Eklunda;27,99%;13,65%;23,71%;3,88%;9,66%;5,08%;5,08%
18-80-0110;Södermalm;32,89%;17,94%;13,52%;12,92%;6,58%;5,26%;3,35%
18-80-0111;Eyra;30,51%;17,78%;21,12%;5,60%;5,78%;5,51%;4,33%
18-80-0112;Gustavsvik;23,52%;16,64%;28,96%;5,84%;8,40%;5,52%;3,28%
